PC1	PC2	PC3	PC4	PC5	MACCS1_c	MACCS2_c	MACCS3_c	MACCS4_c	MACCS1_r	MACCS2_r	MACCS3_r	MACCS4_r	conc_c	conc_r	inhibition	drug_r	drug_c	cell
Cell_Line_10__Drug_2__0.4__Drug_1__1	3.2504067745727	3.76995267951604	-2.77865954542132	-1.5775370990361	-0.353143619886283	0	1	0	0	1	1	0	0	0.4	1	80.0909090909091	Drug_1	Drug_2	Cell_Line_10
Cell_Line_10__Drug_2__0.7__Drug_1__1	3.2504067745727	3.76995267951604	-2.77865954542132	-1.5775370990361	-0.353143619886283	0	1	0	0	1	1	0	0	0.7	1	88	Drug_1	Drug_2	Cell_Line_10
Cell_Line_10_____no_drug_____0.1__Drug_1__0	3.2504067745727	3.76995267951604	-2.77865954542132	-1.5775370990361	-0.353143619886283	0	0	0	0	1	1	0	0	0.1	0	6	Drug_1	___no_drug___	Cell_Line_10
Cell_Line_10_____no_drug_____0.2__Drug_1__0	3.2504067745727	3.76995267951604	-2.77865954542132	-1.5775370990361	-0.353143619886283	0	0	0	0	1	1	0	0	0.2	0	23	Drug_1	___no_drug___	Cell_Line_10
Cell_Line_10_____no_drug_____0.4__Drug_1__0	3.2504067745727	3.76995267951604	-2.77865954542132	-1.5775370990361	-0.353143619886283	0	0	0	0	1	1	0	0	0.4	0	40	Drug_1	___no_drug___	Cell_Line_10
Cell_Line_10_____no_drug_____0.7__Drug_1__0	3.2504067745727	3.76995267951604	-2.77865954542132	-1.5775370990361	-0.353143619886283	0	0	0	0	1	1	0	0	0.7	0	57	Drug_1	___no_drug___	Cell_Line_10
Cell_Line_10_____no_drug_____0.2__Drug_2__0	3.2504067745727	3.76995267951604	-2.77865954542132	-1.5775370990361	-0.353143619886283	0	0	0	0	0	1	0	0	0.2	0	5	Drug_2	___no_drug___	Cell_Line_10
Cell_Line_10_____no_drug_____0.5__Drug_2__0	3.2504067745727	3.76995267951604	-2.77865954542132	-1.5775370990361	-0.353143619886283	0	0	0	0	0	1	0	0	0.5	0	39.5	Drug_2	___no_drug___	Cell_Line_10
Cell_Line_10_____no_drug_____1__Drug_2__0	3.2504067745727	3.76995267951604	-2.77865954542132	-1.5775370990361	-0.353143619886283	0	0	0	0	0	1	0	0	1	0	74	Drug_2	___no_drug___	Cell_Line_10
Cell_Line_15__Drug_3__0.1__Drug_1__0.01	-3.49654844431178	0.236538417338344	0.144084816980842	-4.79820035667247	0.394141658756692	1	1	1	0	1	1	0	0	0.1	0.01	1	Drug_1	Drug_3	Cell_Line_15
Cell_Line_15__Drug_3__0.2__Drug_1__0.01	-3.49654844431178	0.236538417338344	0.144084816980842	-4.79820035667247	0.394141658756692	1	1	1	0	1	1	0	0	0.2	0.01	6.93333333333333	Drug_1	Drug_3	Cell_Line_15
Cell_Line_15__Drug_3__0.4__Drug_1__0.01	-3.49654844431178	0.236538417338344	0.144084816980842	-4.79820035667247	0.394141658756692	1	1	1	0	1	1	0	0	0.4	0.01	12.8666666666667	Drug_1	Drug_3	Cell_Line_15
Cell_Line_15__Drug_3__0.7__Drug_1__0.01	-3.49654844431178	0.236538417338344	0.144084816980842	-4.79820035667247	0.394141658756692	1	1	1	0	1	1	0	0	0.7	0.01	18.8	Drug_1	Drug_3	Cell_Line_15
Cell_Line_15__Drug_3__0.1__Drug_1__0.025	-3.49654844431178	0.236538417338344	0.144084816980842	-4.79820035667247	0.394141658756692	1	1	1	0	1	1	0	0	0.1	0.025	24.7333333333333	Drug_1	Drug_3	Cell_Line_15
Cell_Line_15__Drug_3__0.2__Drug_1__0.025	-3.49654844431178	0.236538417338344	0.144084816980842	-4.79820035667247	0.394141658756692	1	1	1	0	1	1	0	0	0.2	0.025	30.6666666666667	Drug_1	Drug_3	Cell_Line_15
Cell_Line_15__Drug_3__0.4__Drug_1__0.025	-3.49654844431178	0.236538417338344	0.144084816980842	-4.79820035667247	0.394141658756692	1	1	1	0	1	1	0	0	0.4	0.025	36.6	Drug_1	Drug_3	Cell_Line_15
Cell_Line_15__Drug_3__0.7__Drug_1__0.025	-3.49654844431178	0.236538417338344	0.144084816980842	-4.79820035667247	0.394141658756692	1	1	1	0	1	1	0	0	0.7	0.025	42.5333333333333	Drug_1	Drug_3	Cell_Line_15
Cell_Line_15__Drug_3__0.1__Drug_1__0.05	-3.49654844431178	0.236538417338344	0.144084816980842	-4.79820035667247	0.394141658756692	1	1	1	0	1	1	0	0	0.1	0.05	48.4666666666667	Drug_1	Drug_3	Cell_Line_15
Cell_Line_15__Drug_3__0.2__Drug_1__0.05	-3.49654844431178	0.236538417338344	0.144084816980842	-4.79820035667247	0.394141658756692	1	1	1	0	1	1	0	0	0.2	0.05	54.4	Drug_1	Drug_3	Cell_Line_15
Cell_Line_15__Drug_3__0.4__Drug_1__0.05	-3.49654844431178	0.236538417338344	0.144084816980842	-4.79820035667247	0.394141658756692	1	1	1	0	1	1	0	0	0.4	0.05	60.3333333333333	Drug_1	Drug_3	Cell_Line_15
Cell_Line_15__Drug_3__0.7__Drug_1__0.05	-3.49654844431178	0.236538417338344	0.144084816980842	-4.79820035667247	0.394141658756692	1	1	1	0	1	1	0	0	0.7	0.05	66.2666666666667	Drug_1	Drug_3	Cell_Line_15
Cell_Line_15__Drug_3__0.1__Drug_1__0.075	-3.49654844431178	0.236538417338344	0.144084816980842	-4.79820035667247	0.394141658756692	1	1	1	0	1	1	0	0	0.1	0.075	72.2	Drug_1	Drug_3	Cell_Line_15
Cell_Line_15__Drug_3__0.2__Drug_1__0.075	-3.49654844431178	0.236538417338344	0.144084816980842	-4.79820035667247	0.394141658756692	1	1	1	0	1	1	0	0	0.2	0.075	78.1333333333333	Drug_1	Drug_3	Cell_Line_15
Cell_Line_15__Drug_3__0.4__Drug_1__0.075	-3.49654844431178	0.236538417338344	0.144084816980842	-4.79820035667247	0.394141658756692	1	1	1	0	1	1	0	0	0.4	0.075	84.0666666666667	Drug_1	Drug_3	Cell_Line_15
Cell_Line_15__Drug_3__0.7__Drug_1__0.075	-3.49654844431178	0.236538417338344	0.144084816980842	-4.79820035667247	0.394141658756692	1	1	1	0	1	1	0	0	0.7	0.075	90	Drug_1	Drug_3	Cell_Line_15
Cell_Line_15_____no_drug_____0.1__Drug_1__0	-3.49654844431178	0.236538417338344	0.144084816980842	-4.79820035667247	0.394141658756692	0	0	0	0	1	1	0	0	0.1	0	4	Drug_1	___no_drug___	Cell_Line_15
Cell_Line_15_____no_drug_____0.2__Drug_1__0	-3.49654844431178	0.236538417338344	0.144084816980842	-4.79820035667247	0.394141658756692	0	0	0	0	1	1	0	0	0.2	0	17.6666666666667	Drug_1	___no_drug___	Cell_Line_15
Cell_Line_15_____no_drug_____0.4__Drug_1__0	-3.49654844431178	0.236538417338344	0.144084816980842	-4.79820035667247	0.394141658756692	0	0	0	0	1	1	0	0	0.4	0	31.3333333333333	Drug_1	___no_drug___	Cell_Line_15
Cell_Line_15_____no_drug_____0.7__Drug_1__0	-3.49654844431178	0.236538417338344	0.144084816980842	-4.79820035667247	0.394141658756692	0	0	0	0	1	1	0	0	0.7	0	45	Drug_1	___no_drug___	Cell_Line_15
Cell_Line_15_____no_drug_____0.01__Drug_3__0	-3.49654844431178	0.236538417338344	0.144084816980842	-4.79820035667247	0.394141658756692	0	0	0	0	1	1	1	0	0.01	0	7	Drug_3	___no_drug___	Cell_Line_15
Cell_Line_15_____no_drug_____0.025__Drug_3__0	-3.49654844431178	0.236538417338344	0.144084816980842	-4.79820035667247	0.394141658756692	0	0	0	0	1	1	1	0	0.025	0	28	Drug_3	___no_drug___	Cell_Line_15
Cell_Line_15_____no_drug_____0.07__Drug_3__0	-3.49654844431178	0.236538417338344	0.144084816980842	-4.79820035667247	0.394141658756692	0	0	0	0	1	1	1	0	0.07	0	49	Drug_3	___no_drug___	Cell_Line_15
Cell_Line_15_____no_drug_____0.075__Drug_3__0	-3.49654844431178	0.236538417338344	0.144084816980842	-4.79820035667247	0.394141658756692	0	0	0	0	1	1	1	0	0.075	0	70	Drug_3	___no_drug___	Cell_Line_15
Cell_Line_10__Drug_5__0.5__Drug_4__0.3	3.2504067745727	3.76995267951604	-2.77865954542132	-1.5775370990361	-0.353143619886283	0	0	0	1	0	0	0	0	0.5	0.3	1	Drug_4	Drug_5	Cell_Line_10
Cell_Line_10__Drug_5__1__Drug_4__0.3	3.2504067745727	3.76995267951604	-2.77865954542132	-1.5775370990361	-0.353143619886283	0	0	0	1	0	0	0	0	1	0.3	8.18181818181818	Drug_4	Drug_5	Cell_Line_10
Cell_Line_10__Drug_5__2__Drug_4__0.3	3.2504067745727	3.76995267951604	-2.77865954542132	-1.5775370990361	-0.353143619886283	0	0	0	1	0	0	0	0	2	0.3	15.3636363636364	Drug_4	Drug_5	Cell_Line_10
Cell_Line_10__Drug_5__5__Drug_4__0.3	3.2504067745727	3.76995267951604	-2.77865954542132	-1.5775370990361	-0.353143619886283	0	0	0	1	0	0	0	0	5	0.3	22.5454545454545	Drug_4	Drug_5	Cell_Line_10
Cell_Line_10__Drug_5__0.5__Drug_4__0.9	3.2504067745727	3.76995267951604	-2.77865954542132	-1.5775370990361	-0.353143619886283	0	0	0	1	0	0	0	0	0.5	0.9	29.7272727272727	Drug_4	Drug_5	Cell_Line_10
Cell_Line_10__Drug_5__1__Drug_4__0.9	3.2504067745727	3.76995267951604	-2.77865954542132	-1.5775370990361	-0.353143619886283	0	0	0	1	0	0	0	0	1	0.9	36.9090909090909	Drug_4	Drug_5	Cell_Line_10
Cell_Line_10__Drug_5__2__Drug_4__0.9	3.2504067745727	3.76995267951604	-2.77865954542132	-1.5775370990361	-0.353143619886283	0	0	0	1	0	0	0	0	2	0.9	44.0909090909091	Drug_4	Drug_5	Cell_Line_10
Cell_Line_10__Drug_5__5__Drug_4__0.9	3.2504067745727	3.76995267951604	-2.77865954542132	-1.5775370990361	-0.353143619886283	0	0	0	1	0	0	0	0	5	0.9	51.2727272727273	Drug_4	Drug_5	Cell_Line_10
Cell_Line_10__Drug_5__0.5__Drug_4__2.7	3.2504067745727	3.76995267951604	-2.77865954542132	-1.5775370990361	-0.353143619886283	0	0	0	1	0	0	0	0	0.5	2.7	58.4545454545455	Drug_4	Drug_5	Cell_Line_10
Cell_Line_10__Drug_5__1__Drug_4__2.7	3.2504067745727	3.76995267951604	-2.77865954542132	-1.5775370990361	-0.353143619886283	0	0	0	1	0	0	0	0	1	2.7	65.6363636363636	Drug_4	Drug_5	Cell_Line_10
Cell_Line_10__Drug_5__2__Drug_4__2.7	3.2504067745727	3.76995267951604	-2.77865954542132	-1.5775370990361	-0.353143619886283	0	0	0	1	0	0	0	0	2	2.7	72.8181818181818	Drug_4	Drug_5	Cell_Line_10
Cell_Line_10__Drug_5__5__Drug_4__2.7	3.2504067745727	3.76995267951604	-2.77865954542132	-1.5775370990361	-0.353143619886283	0	0	0	1	0	0	0	0	5	2.7	80	Drug_4	Drug_5	Cell_Line_10
Cell_Line_10_____no_drug_____0.5__Drug_4__0	3.2504067745727	3.76995267951604	-2.77865954542132	-1.5775370990361	-0.353143619886283	0	0	0	0	0	0	0	0	0.5	0	2	Drug_4	___no_drug___	Cell_Line_10
Cell_Line_10_____no_drug_____1__Drug_4__0	3.2504067745727	3.76995267951604	-2.77865954542132	-1.5775370990361	-0.353143619886283	0	0	0	0	0	0	0	0	1	0	9.66666666666667	Drug_4	___no_drug___	Cell_Line_10
Cell_Line_10_____no_drug_____2__Drug_4__0	3.2504067745727	3.76995267951604	-2.77865954542132	-1.5775370990361	-0.353143619886283	0	0	0	0	0	0	0	0	2	0	17.3333333333333	Drug_4	___no_drug___	Cell_Line_10
Cell_Line_10_____no_drug_____5__Drug_4__0	3.2504067745727	3.76995267951604	-2.77865954542132	-1.5775370990361	-0.353143619886283	0	0	0	0	0	0	0	0	5	0	25	Drug_4	___no_drug___	Cell_Line_10
Cell_Line_10_____no_drug_____0.3__Drug_5__0	3.2504067745727	3.76995267951604	-2.77865954542132	-1.5775370990361	-0.353143619886283	0	0	0	0	0	0	0	1	0.3	0	1	Drug_5	___no_drug___	Cell_Line_10
Cell_Line_10_____no_drug_____0.9__Drug_5__0	3.2504067745727	3.76995267951604	-2.77865954542132	-1.5775370990361	-0.353143619886283	0	0	0	0	0	0	0	1	0.9	0	30.5	Drug_5	___no_drug___	Cell_Line_10
Cell_Line_10_____no_drug_____2.7__Drug_5__0	3.2504067745727	3.76995267951604	-2.77865954542132	-1.5775370990361	-0.353143619886283	0	0	0	0	0	0	0	1	2.7	0	60	Drug_5	___no_drug___	Cell_Line_10
Cell_Line_8__Drug_6__0.5__Drug_4__0.02	0.65626847756979	2.57840305574217	1.9878722283512	1.32783190006278	1.42601260057351	1	0	0	1	0	0	0	0	0.5	0.02	25	Drug_4	Drug_6	Cell_Line_8
Cell_Line_8__Drug_6__1__Drug_4__0.02	0.65626847756979	2.57840305574217	1.9878722283512	1.32783190006278	1.42601260057351	1	0	0	1	0	0	0	0	1	0.02	29.3333333333333	Drug_4	Drug_6	Cell_Line_8
Cell_Line_8__Drug_6__2__Drug_4__0.02	0.65626847756979	2.57840305574217	1.9878722283512	1.32783190006278	1.42601260057351	1	0	0	1	0	0	0	0	2	0.02	33.6666666666667	Drug_4	Drug_6	Cell_Line_8
Cell_Line_8__Drug_6__5__Drug_4__0.02	0.65626847756979	2.57840305574217	1.9878722283512	1.32783190006278	1.42601260057351	1	0	0	1	0	0	0	0	5	0.02	38	Drug_4	Drug_6	Cell_Line_8
Cell_Line_8__Drug_6__0.5__Drug_4__0.05	0.65626847756979	2.57840305574217	1.9878722283512	1.32783190006278	1.42601260057351	1	0	0	1	0	0	0	0	0.5	0.05	42.3333333333333	Drug_4	Drug_6	Cell_Line_8
Cell_Line_8__Drug_6__1__Drug_4__0.05	0.65626847756979	2.57840305574217	1.9878722283512	1.32783190006278	1.42601260057351	1	0	0	1	0	0	0	0	1	0.05	46.6666666666667	Drug_4	Drug_6	Cell_Line_8
Cell_Line_8__Drug_6__2__Drug_4__0.05	0.65626847756979	2.57840305574217	1.9878722283512	1.32783190006278	1.42601260057351	1	0	0	1	0	0	0	0	2	0.05	51	Drug_4	Drug_6	Cell_Line_8
Cell_Line_8__Drug_6__5__Drug_4__0.05	0.65626847756979	2.57840305574217	1.9878722283512	1.32783190006278	1.42601260057351	1	0	0	1	0	0	0	0	5	0.05	55.3333333333333	Drug_4	Drug_6	Cell_Line_8
Cell_Line_8__Drug_6__0.5__Drug_4__0.09	0.65626847756979	2.57840305574217	1.9878722283512	1.32783190006278	1.42601260057351	1	0	0	1	0	0	0	0	0.5	0.09	59.6666666666667	Drug_4	Drug_6	Cell_Line_8
Cell_Line_8__Drug_6__1__Drug_4__0.09	0.65626847756979	2.57840305574217	1.9878722283512	1.32783190006278	1.42601260057351	1	0	0	1	0	0	0	0	1	0.09	64	Drug_4	Drug_6	Cell_Line_8
Cell_Line_8__Drug_6__2__Drug_4__0.09	0.65626847756979	2.57840305574217	1.9878722283512	1.32783190006278	1.42601260057351	1	0	0	1	0	0	0	0	2	0.09	68.3333333333333	Drug_4	Drug_6	Cell_Line_8
Cell_Line_8__Drug_6__5__Drug_4__0.09	0.65626847756979	2.57840305574217	1.9878722283512	1.32783190006278	1.42601260057351	1	0	0	1	0	0	0	0	5	0.09	72.6666666666667	Drug_4	Drug_6	Cell_Line_8
Cell_Line_8__Drug_6__0.5__Drug_4__0.18	0.65626847756979	2.57840305574217	1.9878722283512	1.32783190006278	1.42601260057351	1	0	0	1	0	0	0	0	0.5	0.18	77	Drug_4	Drug_6	Cell_Line_8
Cell_Line_8__Drug_6__1__Drug_4__0.18	0.65626847756979	2.57840305574217	1.9878722283512	1.32783190006278	1.42601260057351	1	0	0	1	0	0	0	0	1	0.18	81.3333333333333	Drug_4	Drug_6	Cell_Line_8
Cell_Line_8__Drug_6__2__Drug_4__0.18	0.65626847756979	2.57840305574217	1.9878722283512	1.32783190006278	1.42601260057351	1	0	0	1	0	0	0	0	2	0.18	85.6666666666667	Drug_4	Drug_6	Cell_Line_8
Cell_Line_8__Drug_6__5__Drug_4__0.18	0.65626847756979	2.57840305574217	1.9878722283512	1.32783190006278	1.42601260057351	1	0	0	1	0	0	0	0	5	0.18	90	Drug_4	Drug_6	Cell_Line_8
Cell_Line_8_____no_drug_____0.5__Drug_4__0	0.65626847756979	2.57840305574217	1.9878722283512	1.32783190006278	1.42601260057351	0	0	0	0	0	0	0	0	0.5	0	23	Drug_4	___no_drug___	Cell_Line_8
Cell_Line_8_____no_drug_____1__Drug_4__0	0.65626847756979	2.57840305574217	1.9878722283512	1.32783190006278	1.42601260057351	0	0	0	0	0	0	0	0	1	0	37.3333333333333	Drug_4	___no_drug___	Cell_Line_8
Cell_Line_8_____no_drug_____2__Drug_4__0	0.65626847756979	2.57840305574217	1.9878722283512	1.32783190006278	1.42601260057351	0	0	0	0	0	0	0	0	2	0	51.6666666666667	Drug_4	___no_drug___	Cell_Line_8
Cell_Line_8_____no_drug_____5__Drug_4__0	0.65626847756979	2.57840305574217	1.9878722283512	1.32783190006278	1.42601260057351	0	0	0	0	0	0	0	0	5	0	66	Drug_4	___no_drug___	Cell_Line_8
Cell_Line_8_____no_drug_____0.02__Drug_6__0	0.65626847756979	2.57840305574217	1.9878722283512	1.32783190006278	1.42601260057351	0	0	0	0	1	0	0	1	0.02	0	10	Drug_6	___no_drug___	Cell_Line_8
Cell_Line_8_____no_drug_____0.05__Drug_6__0	0.65626847756979	2.57840305574217	1.9878722283512	1.32783190006278	1.42601260057351	0	0	0	0	1	0	0	1	0.05	0	35.6666666666667	Drug_6	___no_drug___	Cell_Line_8
Cell_Line_8_____no_drug_____0.09__Drug_6__0	0.65626847756979	2.57840305574217	1.9878722283512	1.32783190006278	1.42601260057351	0	0	0	0	1	0	0	1	0.09	0	61.3333333333333	Drug_6	___no_drug___	Cell_Line_8
Cell_Line_8_____no_drug_____0.18__Drug_6__0	0.65626847756979	2.57840305574217	1.9878722283512	1.32783190006278	1.42601260057351	0	0	0	0	1	0	0	1	0.18	0	87	Drug_6	___no_drug___	Cell_Line_8
Cell_Line_10__Drug_1__0.2__Drug_2__0.1	3.2504067745727	3.76995267951604	-2.77865954542132	-1.5775370990361	-0.353143619886283	1	1	0	0	0	1	0	0	0.2	0.1	1	Drug_2	Drug_1	Cell_Line_10
Cell_Line_10__Drug_1__0.2__Drug_2__0.2	3.2504067745727	3.76995267951604	-2.77865954542132	-1.5775370990361	-0.353143619886283	1	1	0	0	0	1	0	0	0.2	0.2	8.90909090909091	Drug_2	Drug_1	Cell_Line_10
Cell_Line_10__Drug_1__0.2__Drug_2__0.4	3.2504067745727	3.76995267951604	-2.77865954542132	-1.5775370990361	-0.353143619886283	1	1	0	0	0	1	0	0	0.2	0.4	16.8181818181818	Drug_2	Drug_1	Cell_Line_10
Cell_Line_10__Drug_1__0.2__Drug_2__0.7	3.2504067745727	3.76995267951604	-2.77865954542132	-1.5775370990361	-0.353143619886283	1	1	0	0	0	1	0	0	0.2	0.7	24.7272727272727	Drug_2	Drug_1	Cell_Line_10
Cell_Line_10__Drug_1__0.5__Drug_2__0.1	3.2504067745727	3.76995267951604	-2.77865954542132	-1.5775370990361	-0.353143619886283	1	1	0	0	0	1	0	0	0.5	0.1	32.6363636363636	Drug_2	Drug_1	Cell_Line_10
Cell_Line_10__Drug_1__0.5__Drug_2__0.2	3.2504067745727	3.76995267951604	-2.77865954542132	-1.5775370990361	-0.353143619886283	1	1	0	0	0	1	0	0	0.5	0.2	40.5454545454545	Drug_2	Drug_1	Cell_Line_10
Cell_Line_10__Drug_1__0.5__Drug_2__0.4	3.2504067745727	3.76995267951604	-2.77865954542132	-1.5775370990361	-0.353143619886283	1	1	0	0	0	1	0	0	0.5	0.4	48.4545454545455	Drug_2	Drug_1	Cell_Line_10
Cell_Line_10__Drug_1__0.5__Drug_2__0.7	3.2504067745727	3.76995267951604	-2.77865954542132	-1.5775370990361	-0.353143619886283	1	1	0	0	0	1	0	0	0.5	0.7	56.3636363636364	Drug_2	Drug_1	Cell_Line_10
Cell_Line_10__Drug_1__1__Drug_2__0.1	3.2504067745727	3.76995267951604	-2.77865954542132	-1.5775370990361	-0.353143619886283	1	1	0	0	0	1	0	0	1	0.1	64.2727272727273	Drug_2	Drug_1	Cell_Line_10
Cell_Line_10__Drug_1__1__Drug_2__0.2	3.2504067745727	3.76995267951604	-2.77865954542132	-1.5775370990361	-0.353143619886283	1	1	0	0	0	1	0	0	1	0.2	72.1818181818182	Drug_2	Drug_1	Cell_Line_10
Cell_Line_10__Drug_1__1__Drug_2__0.4	3.2504067745727	3.76995267951604	-2.77865954542132	-1.5775370990361	-0.353143619886283	1	1	0	0	0	1	0	0	1	0.4	80.0909090909091	Drug_2	Drug_1	Cell_Line_10
Cell_Line_10__Drug_1__1__Drug_2__0.7	3.2504067745727	3.76995267951604	-2.77865954542132	-1.5775370990361	-0.353143619886283	1	1	0	0	0	1	0	0	1	0.7	88	Drug_2	Drug_1	Cell_Line_10
Cell_Line_10__Drug_1__0_____no_drug_____0.1	3.2504067745727	3.76995267951604	-2.77865954542132	-1.5775370990361	-0.353143619886283	1	1	0	0	0	0	0	0	0	0.1	6	___no_drug___	Drug_1	Cell_Line_10
Cell_Line_10__Drug_1__0_____no_drug_____0.2	3.2504067745727	3.76995267951604	-2.77865954542132	-1.5775370990361	-0.353143619886283	1	1	0	0	0	0	0	0	0	0.2	23	___no_drug___	Drug_1	Cell_Line_10
Cell_Line_10__Drug_1__0_____no_drug_____0.4	3.2504067745727	3.76995267951604	-2.77865954542132	-1.5775370990361	-0.353143619886283	1	1	0	0	0	0	0	0	0	0.4	40	___no_drug___	Drug_1	Cell_Line_10
Cell_Line_10__Drug_1__0_____no_drug_____0.7	3.2504067745727	3.76995267951604	-2.77865954542132	-1.5775370990361	-0.353143619886283	1	1	0	0	0	0	0	0	0	0.7	57	___no_drug___	Drug_1	Cell_Line_10
Cell_Line_10__Drug_2__0_____no_drug_____0.2	3.2504067745727	3.76995267951604	-2.77865954542132	-1.5775370990361	-0.353143619886283	0	1	0	0	0	0	0	0	0	0.2	5	___no_drug___	Drug_2	Cell_Line_10
Cell_Line_10__Drug_2__0_____no_drug_____0.5	3.2504067745727	3.76995267951604	-2.77865954542132	-1.5775370990361	-0.353143619886283	0	1	0	0	0	0	0	0	0	0.5	39.5	___no_drug___	Drug_2	Cell_Line_10
Cell_Line_10__Drug_2__0_____no_drug_____1	3.2504067745727	3.76995267951604	-2.77865954542132	-1.5775370990361	-0.353143619886283	0	1	0	0	0	0	0	0	0	1	74	___no_drug___	Drug_2	Cell_Line_10
Cell_Line_15__Drug_1__0.01__Drug_3__0.1	-3.49654844431178	0.236538417338344	0.144084816980842	-4.79820035667247	0.394141658756692	1	1	0	0	1	1	1	0	0.01	0.1	1	Drug_3	Drug_1	Cell_Line_15
Cell_Line_15__Drug_1__0.01__Drug_3__0.2	-3.49654844431178	0.236538417338344	0.144084816980842	-4.79820035667247	0.394141658756692	1	1	0	0	1	1	1	0	0.01	0.2	6.93333333333333	Drug_3	Drug_1	Cell_Line_15
Cell_Line_15__Drug_1__0.01__Drug_3__0.4	-3.49654844431178	0.236538417338344	0.144084816980842	-4.79820035667247	0.394141658756692	1	1	0	0	1	1	1	0	0.01	0.4	12.8666666666667	Drug_3	Drug_1	Cell_Line_15
Cell_Line_15__Drug_1__0.01__Drug_3__0.7	-3.49654844431178	0.236538417338344	0.144084816980842	-4.79820035667247	0.394141658756692	1	1	0	0	1	1	1	0	0.01	0.7	18.8	Drug_3	Drug_1	Cell_Line_15
Cell_Line_15__Drug_1__0.025__Drug_3__0.1	-3.49654844431178	0.236538417338344	0.144084816980842	-4.79820035667247	0.394141658756692	1	1	0	0	1	1	1	0	0.025	0.1	24.7333333333333	Drug_3	Drug_1	Cell_Line_15
Cell_Line_15__Drug_1__0.025__Drug_3__0.2	-3.49654844431178	0.236538417338344	0.144084816980842	-4.79820035667247	0.394141658756692	1	1	0	0	1	1	1	0	0.025	0.2	30.6666666666667	Drug_3	Drug_1	Cell_Line_15
Cell_Line_15__Drug_1__0.025__Drug_3__0.4	-3.49654844431178	0.236538417338344	0.144084816980842	-4.79820035667247	0.394141658756692	1	1	0	0	1	1	1	0	0.025	0.4	36.6	Drug_3	Drug_1	Cell_Line_15
Cell_Line_15__Drug_1__0.025__Drug_3__0.7	-3.49654844431178	0.236538417338344	0.144084816980842	-4.79820035667247	0.394141658756692	1	1	0	0	1	1	1	0	0.025	0.7	42.5333333333333	Drug_3	Drug_1	Cell_Line_15
Cell_Line_15__Drug_1__0.05__Drug_3__0.1	-3.49654844431178	0.236538417338344	0.144084816980842	-4.79820035667247	0.394141658756692	1	1	0	0	1	1	1	0	0.05	0.1	48.4666666666667	Drug_3	Drug_1	Cell_Line_15
Cell_Line_15__Drug_1__0.05__Drug_3__0.2	-3.49654844431178	0.236538417338344	0.144084816980842	-4.79820035667247	0.394141658756692	1	1	0	0	1	1	1	0	0.05	0.2	54.4	Drug_3	Drug_1	Cell_Line_15
